2024-03-17 18:38:46, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:51, GPU Temperature: 56°C, nvlddmkm.sys: Not Present
2024-03-17 18:38:56, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:01, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:07, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:12, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:17, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:22, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:27, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:32, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:37, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:42, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:47, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:52, GPU Temperature: 56°C, nvlddmkm.sys: Not Present
2024-03-17 18:39:57, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:02, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:07, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:12, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:17, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:22, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:27, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:33, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:38, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:43, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:48, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:53, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:40:58, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:03, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:08, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:41:13, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
